datetime,open,high,low,close
3/31/2025,3093,3127.87988,3076.82007,3124.55005
3/29/2025,3080.8501,3086.18994,3080.8501,3085.28003
3/28/2025,3057.53003,3086.80005,3054.25,3080.96997
3/27/2025,3017.31006,3059.58008,3017.23999,3057.58008
3/26/2025,3019.65991,3032.13989,3012.44995,3017.20996
3/25/2025,3006.19995,3036.050049,3005.73999,3019.63989
3/24/2025,3023.30005,3033.38989,3002.62012,3006.18994
3/22/2025,3020.040039,3024.1499,3020.030029,3023.8501
3/21/2025,3044.81006,3047.51001,2999.47998,3019.94995
3/20/2025,3047.82007,3057.36011,3025.76001,3044.82007
3/19/2025,3035.77002,3051.98999,3022.95996,3047.87988
3/18/2025,3000.3999,3038.33008,2999.6001,3035.52002
3/17/2025,2987.8501,3001.22998,2982.33008,3000.37012
3/15/2025,2984.01001,2988.87988,2981.93994,2985.040039
3/14/2025,2983.12988,3004.94995,2978.59009,2984.02002
3/13/2025,2931.34009,2985.43994,2930.94995,2982.97998
3/12/2025,2918.36011,2940.6001,2906.22998,2931.37988
3/11/2025,2885.18994,2922.26001,2880.43994,2918.48999
3/10/2025,2912.41992,2918.28003,2880.3999,2885.37012
3/8/2025,2905.3501,2912.82007,2904.88989,2909.43994
3/7/2025,2913.8501,2930.42993,2896.83008,2905.45996
3/6/2025,2920.62012,2926.59009,2891.43994,2914.080078
3/5/2025,2915.95996,2929.8501,2894.44995,2920.62988
3/4/2025,2881.63989,2927.84009,2878.47998,2916.21997
3/3/2025,2873.30005,2893.02002,2859.02002,2881.69995
3/1/2025,2849.51001,2859.36011,2847.77002,2857.44995
2/28/2025,2879.37012,2885.22998,2832.77002,2849.79004
2/27/2025,2914,2920.8501,2868.090088,2879.27002
2/26/2025,2912.15991,2930.25,2890.8999,2913.97998
2/25/2025,2949.21997,2953.69995,2888.6499,2912.18994
2/24/2025,2939.67993,2956.26001,2921.5,2949.37988
2/22/2025,2933.31006,2938.3501,2932.16992,2936.080078
2/21/2025,2938.02002,2949.87012,2916.87012,2933.52002
2/20/2025,2931.77002,2954.88989,2924.3999,2937.97998
2/19/2025,2935.8501,2947.050049,2918.8501,2931.84009
2/18/2025,2899.33008,2936.95996,2892.12988,2935.8501
2/17/2025,2893.67993,2906.41992,2878.90991,2898.3999
2/15/2025,2880.67993,2886.25,2877.1499,2882.54004
2/14/2025,2926.92993,2940.1001,2878.94995,2880.76001
2/13/2025,2897.95996,2927.47998,2895.62012,2926.96997
2/12/2025,2900.26001,2909.12988,2864.22998,2897.92993
2/11/2025,2904.44995,2942.68994,2881.8999,2900.29004
2/10/2025,2861.3999,2911.43994,2860.44995,2904.41992
2/8/2025,2860.12988,2863.88989,2859.47998,2860.87012
2/7/2025,2854,2886.81006,2852.70996,2860.29004
2/6/2025,2863.65991,2873.27002,2834.3501,2854.050049
2/5/2025,2843.1499,2882.3501,2839.87012,2863.66992
2/4/2025,2818.29004,2845.51001,2807.37012,2843.1001
2/3/2025,2802.30005,2830.6001,2772.37988,2818.37012
2/1/2025,2796.070068,2802.58008,2794.37012,2798.52002
1/31/2025,2793.3999,2817.12012,2789.55005,2796.33008
1/30/2025,2755.20996,2798.47998,2752.75,2793.54004
1/29/2025,2764.8501,2766.30005,2744.90991,2755.32007
1/28/2025,2739.43994,2765.02002,2734.8999,2764.87012
1/27/2025,2765.66992,2772.61011,2730.59009,2739.37988
1/25/2025,2774.67993,2774.8501,2770.66992,2771.25
1/24/2025,2754.12012,2786.050049,2751.47998,2774.68994
1/23/2025,2755.44995,2758.83008,2735.96997,2754.19995
1/22/2025,2742.80005,2763.37988,2740.15991,2755.42993
1/21/2025,2707.44995,2745.96997,2702.87012,2742.95996
1/20/2025,2703.15991,2713.98999,2689.44995,2708.31006
1/18/2025,2703.21997,2704.27002,2699.40991,2702.86011
1/17/2025,2715.40991,2717.44995,2702.88989,2703.27002
1/16/2025,2694.1001,2724.77002,2690.1001,2715.37988
1/15/2025,2674.34009,2696.060059,2669.42993,2693.93994
1/14/2025,2658.97998,2676.3501,2658.8501,2674.37988
1/13/2025,2689.93994,2693.32007,2656.90991,2658.97998
1/11/2025,2685.94995,2693.47998,2684.71997,2690.15991
1/10/2025,2670.3501,2697.8999,2664.13989,2685.93994
1/9/2025,2658.36011,2678.15991,2655.72998,2670.22998
1/8/2025,2649.43994,2669.95996,2645.3501,2658.3501
1/7/2025,2634.46997,2664.26001,2633.070068,2649.44995
1/6/2025,2639.91992,2649.46997,2614.88989,2634.47998
1/4/2025,2639.42993,2640.8501,2636.83008,2639.48999
1/3/2025,2654.93994,2665.34009,2639.17993,2639.68994
1/2/2025,2625.1499,2660.44995,2621.78003,2654.78003
1/1/2025,2623.66992,2625.030029,2622.15991,2624.56006
12/31/2024,2607.15991,2627.57007,2602.69995,2623.84009
12/30/2024,2621.61011,2628.11011,2596.19995,2607.17993
12/28/2024,2620.68994,2622.28003,2612.82007,2621.8999
12/27/2024,2634.94995,2638.36011,2611.81006,2620.72998
12/26/2024,2616.29004,2639.12012,2615.22998,2635.060059
12/24/2024,2611.37988,2621.46997,2609.22998,2617.27002
12/23/2024,2622.87988,2633.30005,2608.18994,2611.27002
12/21/2024,2627.93994,2628.13989,2619.3999,2623.29004
12/20/2024,2596.98999,2631.77002,2589.80005,2627.94995
12/19/2024,2604.63989,2626.44995,2583.55005,2596.8501
12/18/2024,2645.44995,2651.80005,2604.28003,2604.28003
12/17/2024,2653.3501,2658.76001,2633.22998,2645.40991
12/16/2024,2649.1499,2664.47998,2643.6499,2653.36011
12/14/2024,2653.030029,2653.56006,2646.23999,2648.51001
12/13/2024,2683.070068,2692.76001,2652.31006,2653.070068
12/12/2024,2718.12012,2726.30005,2675.22998,2683.070068
12/11/2024,2692.01001,2721.13989,2675.55005,2718.11011
12/10/2024,2659.96997,2695.61011,2656.82007,2691.97998
12/9/2024,2643.19995,2676.43994,2627.59009,2660.31006
12/7/2024,2635.030029,2636.46997,2631.21997,2633.19995
12/6/2024,2629.90991,2645.67993,2613.8501,2634.8999
12/5/2024,2651.72998,2655.56006,2623.68994,2629.87988
12/4/2024,2640.90991,2657.13989,2632.68994,2651.80005
12/3/2024,2637.6001,2655.62012,2634.27002,2641.030029
12/2/2024,2649.37988,2651.55005,2621.98999,2637.69995
11/29/2024,2638.67993,2666.3501,2634.43994,2650.11011
11/28/2024,2634.77002,2649.69995,2621.02002,2637.38989
11/27/2024,2628.27002,2658.21997,2627.1499,2634.78003
11/26/2024,2625.92993,2641.98999,2605.3501,2628.11011
11/25/2024,2711.84009,2721.34009,2615.72998,2625.72998
11/23/2024,2708.1499,2716.30005,2705.15991,2716.080078
11/22/2024,2669.78003,2711.47998,2668.15991,2708.22998
11/21/2024,2650.86011,2673.55005,2647.30005,2669.72998
11/20/2024,2630.81006,2655.47998,2618.96997,2650.94995
11/19/2024,2609.84009,2639.48999,2608.31006,2630.77002
11/18/2024,2568.13989,2615.090088,2568.13989,2609.87988
11/16/2024,2563.92993,2563.96997,2559.98999,2563.070068
11/15/2024,2576.060059,2576.15991,2554.62012,2563.93994
11/14/2024,2581.060059,2581.42993,2536.8999,2576.02002
11/13/2024,2598.26001,2618.68994,2577.72998,2581.050049
11/12/2024,2619.3501,2626.98999,2589.8999,2598.27002
11/11/2024,2682.55005,2686.12988,2610.76001,2619.23999
11/9/2024,2687.1499,2688.63989,2682.97998,2684.19995
11/8/2024,2694.3999,2710.43994,2680.3999,2687.18994
11/7/2024,2667.15991,2700.38989,2643.77002,2694.44995
11/6/2024,2740.44995,2749.72998,2652.6001,2667.15991
11/5/2024,2738.3999,2750.01001,2724.78003,2740.47998
11/4/2024,2733.36011,2748.22998,2732.01001,2738.38989
11/2/2024,2734.31006,2736.91992,2733.3999,2736.3999
